State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.01,BULOH KASAP,ZAHARI SARIP,BN,9,17,52.51,1,L,MNG,0
Johor,N.01,BULOH KASAP,NORSAMSU MOHD YUSOF,PKR,8,17,47.49,0,L,KLH,0
Johor,N.02,JEMENTAH,CHIAM YOK MENG,BN,9,27,33.75,0,L,KLH,0
Johor,N.02,JEMENTAH,TAN CHEN CHOON,PKR,16,27,59.07,1,L,MNG,0
Johor,N.02,JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,1,27,7.18,0,L,HD,0
Johor,N.03,PEMANIS,CIKGU MALA,PAS,2,18,11.69,0,P,HD,0
Johor,N.03,PEMANIS,DR CHONG,PKR,8,18,45.14,1,L,MNG,0
Johor,N.03,PEMANIS,KOO SHIAW LEE,BN,7,18,43.17,0,L,KLH,0
Johor,N.04,KEMELAH,DR SULAIMAN MOHD NOR,PKR,10,19,56.1,1,L,MNG,0
Johor,N.04,KEMELAH,ANUAR BIN ABD. MANAP,BN,8,19,43.9,0,L,KLH,0
Johor,N.05,TENANG,SOLIHAN BADRI,PKR,7,15,50.92,1,L,MNG,0
Johor,N.05,TENANG,MOHD AZAHAR BIN IBRAHIM,BN,6,15,43.79,0,L,KLH,0
Johor,N.05,TENANG,USTAZ NASHARUDIN BIN AWANG,PAS,794,15,5.29,0,L,HD,0
Johor,N.06,BEKOK,DR S.RAMAKRISHNAN,PKR,9,16,57.25,1,L,MNG,0
Johor,N.06,BEKOK,TAN CHONG,BN,7,16,42.75,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,DR SAHRUDDIN BIN JAMAL,PKR,11,23,48.98,1,L,MNG,0
Johor,N.07,BUKIT KEPONG,HJ MOHD NOOR BIN TAIB,BN,10,23,43.63,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,IQBAL RAZAK,PAS,1,23,7.39,0,L,HD,0
Johor,N.08,BUKIT PASIR,KAPT (B) HJ NAJIB BIN LEP,PAS,9,17,55.29,1,L,MNG,0
Johor,N.08,BUKIT PASIR,NORIAH BINTI MAHAT,BN,7,17,44.71,0,P,KLH,0
Johor,N.09,GAMBIR,DATUK M. ASOJAN,BN,7,19,37.31,0,L,KLH,0
Johor,N.09,GAMBIR,TAN SRI MUHYIDDIN YASSIN,PKR,10,19,53.33,1,L,MNG,0
Johor,N.09,GAMBIR,DATO DR MAHFODZ BIN MOHAMED,PAS,1,19,9.37,0,L,HD,0
Johor,N.10,TANGKAK,EE CHIN LI,PKR,13,21,61.57,1,L,MNG,0
Johor,N.10,TANGKAK,GOH TEE TEE,BN,8,21,38.43,0,L,KLH,0
Johor,N.11,SEROM,ABDULL RAHIM BIN TALIB,BN,9,23,39.49,0,L,KLH,0
Johor,N.11,SEROM,DR FAIZUL AMRI ADNAN,PKR,11,23,49.2,1,L,MNG,0
Johor,N.11,SEROM,MUSTAFFA BIN SALLEH,PAS,2,23,11.32,0,L,HD,0
Johor,N.12,BENTAYAN,NG YAK HOWE,PKR,18,22,79.72,1,L,MNG,0
Johor,N.12,BENTAYAN,LEE KIM HENG,BN,4,22,20.28,0,L,KLH,0
Johor,N.13,SIMPANG JERAM,AHMAD HASHIM,BEBAS - POKOK,28,23,0.12,0,L,HD,0
Johor,N.13,SIMPANG JERAM,DR. MOHD MAZRI BIN YAHYA,PAS,2,23,8.99,0,L,HD,0
Johor,N.13,SIMPANG JERAM,SALAHUDDIN AYUB,PKR,14,23,61.62,1,L,MNG,0
Johor,N.13,SIMPANG JERAM,MOHD RADZI BIN AMIN,BN,6,23,29.27,0,L,KLH,0
Johor,N.14,BUKIT NANING,HASSAN BIN JOHARI,BN,5,15,38.06,0,L,KLH,0
Johor,N.14,BUKIT NANING,AZMAN BIN IBRAHIM,PAS,1,15,11.14,0,L,HD,0
Johor,N.14,BUKIT NANING,JEGANATHAN A/L SUBRAMANIAM,BEBAS - KUDA,364,15,2.42,0,L,HD,0
Johor,N.14,BUKIT NANING,MD YSAHRUDIN BIN KUSNI,PKR,7,15,48.38,1,L,MNG,0
Johor,N.15,MAHARANI,NOR HAYATI BACHOK,PKR,12,23,53.92,1,P,MNG,0
Johor,N.15,MAHARANI,DR MOHAMMAD TASLIM,PAS,3,23,16.82,0,L,KLH,0
Johor,N.15,MAHARANI,"DATO' ASHARI MD.SARIP",BN,6,23,29.26,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,"NA'IM BIN JUSRI",PKR,7,19,41.27,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,CIKGU HJ CHEMAN BIN YUSOH,PAS,3,19,16.54,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,ZAITON BINTI ISMAIL,BN,8,19,42.19,1,P,MNG,0
Johor,N.17,SEMERAH,USTAZ WAN,PAS,4,29,14.65,0,L,KLH,0
Johor,N.17,SEMERAH,MOHD ISMAIL BIN ROSLAN,BN,12,29,42.51,0,L,KLH,0
Johor,N.17,SEMERAH,KHUZZAN ABU BAKAR,PKR,12,29,42.84,1,L,MNG,0
Johor,N.18,SRI MEDAN,ZULKURNAIN BIN KAMISAN,BN,11,20,56.88,1,L,MNG,0
Johor,N.18,SRI MEDAN,MOHD AJIB BIN OMAR,PKR,5,20,27.23,0,L,KLH,0
Johor,N.18,SRI MEDAN,SALLEHUDIN BIN AB. RASID,PAS,3,20,15.89,0,L,KLH,USAHAWAN
Johor,N.19,YONG PENG,MUHAMMAD BIN ABDULLAH,PAS,1,20,5.99,0,L,HD,0
Johor,N.19,YONG PENG,CHEW PECK CHOO,PKR,12,20,59.26,1,P,MNG,0
Johor,N.19,YONG PENG,LING TIAN SOON (AH SOON),BN,7,20,34.76,0,L,KLH,0
Johor,N.20,SEMARANG,DATUK HJ. SAMSOLBARI,BN,10,18,59.45,1,L,MNG,0
Johor,N.20,SEMARANG,ZAIS BIN MOHD AKIL,PKR,4,18,27.15,0,L,KLH,0
Johor,N.20,SEMARANG,HAJI MOHD BAKRI SAMIAN,PAS,2,18,13.4,0,L,KLH,0
Johor,N.21,PARIT YAANI,SOH LIP YAN,BN,7,22,32.89,0,L,KLH,0
Johor,N.21,PARIT YAANI,CIKGU HAJI NASIR,PAS,2,22,12.95,0,L,KLH,0
Johor,N.21,PARIT YAANI,CIKGU AMINOLHUDA,PKR,12,22,54.16,1,L,MNG,0
Johor,N.22,PARIT RAJA,CIKGU ABDUL HADI BIN HARUN,PAS,3,21,14.4,0,L,KLH,0
Johor,N.22,PARIT RAJA,FERDAUS BIN KAYAU,PKR,8,21,41.32,0,L,KLH,0
Johor,N.22,PARIT RAJA,RASHIDAH RAMLI,BN,9,21,44.28,1,P,MNG,0
Johor,N.23,PENGGARAM,GAN PECK CHENG,PKR,26,41,64.44,1,P,MNG,0
Johor,N.23,PENGGARAM,KANG BENG KUAN,BN,9,41,23.11,0,L,KLH,0
Johor,N.23,PENGGARAM,MISRAN BIN SAMIAN,PAS,5,41,12.45,0,L,HD,0
Johor,N.24,SENGGARANG,KHAIRUDDIN BIN A RAHIM,PKR,10,23,45.9,1,L,MNG,0
Johor,N.24,SENGGARANG,DR MOHD RAMLI,PAS,2,23,11.72,0,L,HD,DOKTOR PERUBATAN SWASTA
Johor,N.24,SENGGARANG,ZAIDI BIN JAPAR,BN,9,23,42.38,0,L,KLH,0
Johor,N.25,RENGIT,MALIK FAISHAL BIN AHMAD,PKR,5,17,31.39,0,L,KLH,0
Johor,N.25,RENGIT,AYUB JAMIL,BN,9,17,55.33,1,L,MNG,0
Johor,N.25,RENGIT,MOHD.TUMIRAN BIN AHMAD,PAS,2,17,13.27,0,L,KLH,0
Johor,N.26,MACHAP,ABD TAIB BIN ABU BAKAR,BN,9,19,46.93,1,L,MNG,0
Johor,N.26,MACHAP,HAJI AHMAD BIN AHEM,PKR,8,19,44.91,0,L,KLH,0
Johor,N.26,MACHAP,USTAZ HAJI AZLISHAM,PAS,1,19,8.16,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,HJ JUBRI,PAS,1,15,8.44,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,ONN HAFIZ BIN GHAZI,BN,7,15,46.93,1,L,MNG,0
Johor,N.27,LAYANG-LAYANG,CIKGU MURUGAN,PKR,7,15,44.64,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHIN SIM LAI,BN,10,39,25.9,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHEW CHONG SIN,PKR,29,39,74.1,1,L,MNG,0
Johor,N.29,MAHKOTA,DATUK HJ. MD JAIS SARDAY,BN,17,40,44.11,0,L,KLH,0
Johor,N.29,MAHKOTA,MUHAMAD SAID JONIT,PKR,19,40,48.24,1,L,MNG,0
Johor,N.29,MAHKOTA,HASBULLAH NAJIB,PAS,3,40,7.65,0,L,HD,0
Johor,N.30,PALOH,TEOH YAP KUN,BN,8,17,47.55,0,L,KLH,0
Johor,N.30,PALOH,SHAMUGAM A/L MUNISAMY,BEBAS - GAJAH,61,17,0.35,0,L,HD,0
Johor,N.30,PALOH,SHEIKH OMAR ALI,PKR,8,17,52.1,1,L,MNG,0
Johor,N.31,KAHANG,NOORLIHAN BINTI ARIFFIN,PKR,7,18,42.34,0,P,KLH,0
Johor,N.31,KAHANG,R. VIDYANANTHAN,BN,10,18,57.66,1,L,MNG,0
Johor,N.32,ENDAU,ALWIYAH TALIB,BN,7,14,47.95,1,P,MNG,0
Johor,N.32,ENDAU,CIKGU ROSLAN,PAS,3,14,24.79,0,L,KLH,0
Johor,N.32,ENDAU,NORUL HASZARUL BIN ABU SAMAH,PKR,4,14,27.26,0,L,KLH,0
Johor,N.33,TENGGAROH,RAHAMIZON BINTI ABDUL GHANI,PKR,6,22,29.22,0,P,KLH,0
Johor,N.33,TENGGAROH,RAVEN KUMAR KRISHNASAMY,BN,12,22,54.96,1,L,MNG,0
Johor,N.33,TENGGAROH,A. RAHMAN BIN A. HAMID,PAS,3,22,15.82,0,L,KLH,0
Johor,N.34,PANTI,LT. KOLONEL (B) NAZARI,PAS,2,21,9.65,0,L,HD,0
Johor,N.34,PANTI,INTAN JAWAHIR,PKR,7,21,37.2,0,P,KLH,0
